BIN,Address,Borough,Legal Owner (MapPLUTO),Complaints (12mo),Complaints (3yr),Loss of Service % (30d),Risk Level,AI Headline
2088408,2240 WALTON AVENUE,Bronx,NEW WALTON AVE HOUSING DEVELOP FUND CORP,12,26,0.00%,CRITICAL,Critical Elevator Safety and Service Failures at 2240 Walton Avenue Demand Immediate Intervention
2008361,1726 DAVIDSON AVENUE,Bronx,1726 DAVIDSON LLC,8,19,0.00%,CRITICAL,Critical Elevator System Failure and Tenant Frustration at 1726 Davidson Avenue Demand Immediate Intervention
2092067,1600 SEDGWICK AVENUE,Bronx,RIVERVIEW REDEVELOPMENT COMPANY,6,26,0.00%,CRITICAL,Critical Elevator Safety and Reliability Crisis at 1600 Sedgwick Avenue Demands Immediate Action
2007890,1777 GRAND CONCOURSE,Bronx,1777 GC LLC,5,23,0.28%,HIGH,Executive Summary: Persistent Elevator Malfunctions and High Tenant Frustration at 1777 Grand Concourse
2007671,2015 CRESTON AVENUE,Bronx,PARKASH 2015 LLC,5,13,0.00%,CRITICAL,Critical Elevator Reliability Crisis at 2015 Creston Avenue Demands Immediate Intervention
2092440,2663 HEATH AVENUE,Bronx,NYC HOUSING AUTHORITY,5,6,0.00%,CRITICAL,Elevator Service at 2663 Heath Avenue: Chronic Failures and Escalating Tenant Frustration Demand Immediate Intervention
2086835,3340 BAILEY AVENUE,Bronx,NYC HOUSING AUTHORITY,5,5,0.00%,HIGH,Executive Summary: Escalating Elevator Defects and High Community Frustration at 3340 BAILEY AVENUE
2120470,112 HENWOOD PLACE,Bronx,"HPDC2 HOUSING DEVELOPMENT FUND COMPANY,  INC.",4,4,0.00%,CRITICAL,Critical Elevator Reliability Crisis at 112 Henwood Place Demands Immediate Intervention
2015344,125 WEST 195 STREET,Bronx,561 WEST 144 INC,4,16,0.00%,CRITICAL,Critical Elevator Reliability Issues at 125 WEST 195 STREET Demand Immediate Intervention
2007689,165 EAST 179 STREET,Bronx,V & S 179 LLC,4,9,0.28%,HIGH,Elevator Reliability at 165 East 179 Street: Urgent Intervention and Proactive Monitoring Required Due to Chronic Issues
2015395,165 WEST 197 STREET,Bronx,PARKASH 197 LLC,4,10,0.00%,HIGH,Elevator System at 165 West 197 Street Requires Urgent Intervention Due to Chronic Failures and High Tenant Frustration
2008512,1718 GRAND AVENUE,Bronx,PARKASH 1718 LLC,4,22,0.00%,HIGH,Executive Summary: Chronic Elevator Failures at 1718 Grand Avenue Demand Immediate Intervention
2008396,2016 DAVIDSON AVENUE,Bronx,2016 REALTY LLC,4,4,0.56%,HIGH,Critical Elevator Malfunctions and Sustained Tenant Frustration at 2016 Davidson Avenue Necessitate Immediate Intervention
2014265,2344 DAVIDSON AVENUE,Bronx,NEIGHBORHOOD RENEWAL HOUSING DEVELOPMENT  FUND CORP,4,11,0.00%,CRITICAL,Urgent Action Required: Chronic Elevator Failures at 2344 Davidson Avenue Jeopardize Tenant Safety and Quality of Life
2013832,2615 GRAND CONCOURSE,Bronx,2615 GRAND LLC,4,8,0.00%,HIGH,"Chronic Elevator Malfunctions Plague 2615 GRAND CONCOURSE, Demanding Immediate Intervention"
2015172,2686 BAILEY AVENUE,Bronx,WINGATE REALTY LLC,4,15,0.00%,CRITICAL,Urgent Intervention Required: Persistent Elevator Safety Failures and High Tenant Distress at 2686 Bailey Avenue
2015379,2800 SEDGWICK AVENUE,Bronx,SEDGWICK MGT LLC,4,5,0.00%,CRITICAL,Critical Elevator Malfunction Report: Urgent Intervention Required at 2800 Sedgwick Avenue
2015397,2840 SEDGWICK AVENUE,Bronx,PARKASH 2840 LLC,4,16,0.00%,CRITICAL,Critical Elevator System Failure and Tenant Frustration at 2840 Sedgwick Avenue
2013932,50 EAST 191 STREET,Bronx,191 STREET LLC,4,15,0.28%,CRITICAL,Critical Elevator Reliability Issues at 50 EAST 191 STREET Demand Immediate Intervention
2007885,115 HENWOOD PLACE,Bronx,"PROMESA FOUNDATION, INC.",3,4,0.28%,HIGH,Urgent Intervention Required: Persistent Elevator Failures and Active Complaint at 115 Henwood Place
2007632,125 MOUNT HOPE PLACE,Bronx,125 MOUNT LLC,3,22,0.00%,CRITICAL,Critical Elevator Malfunctions at 125 MOUNT HOPE PLACE Demand Urgent Intervention
2009174,1501 UNDERCLIFF AVENUE,Bronx,1501 UNDERCLIFF ASSOC.,3,14,0.00%,CRITICAL,Critical Elevator Safety and Operational Failures at 1501 Undercliff Avenue Demand Immediate Action
2007423,1780 EASTBURN AVENUE,Bronx,PARKASH 1780 LLC,3,7,0.00%,HIGH,Urgent Action Required: Persistent Elevator Malfunctions at 1780 Eastburn Avenue Pose High Risk
2007631,1881 GRAND CONCOURSE,Bronx,"1881 GRAND CONCOURSE REALTY, LLC",3,12,0.00%,HIGH,Elevator Reliability Crisis at 1881 Grand Concourse Demands Immediate Intervention
2008635,1995 DAVIDSON AVENUE,Bronx,"DAVIDSON NYC, LLC",3,4,0.28%,HIGH,Elevator System at 1995 DAVIDSON AVENUE Faces High Risk Due to Chronic Malfunctions and Tenant Neglect
2013744,2051 GRAND CONCOURSE,Bronx,PARKASH 2051 LLC,3,14,0.00%,HIGH,Elevator System at 2051 GRAND CONCOURSE: High Risk Due to Persistent Malfunctions and Mounting Tenant Discontent
2014227,2280 GRAND AVENUE,Bronx,GRAND 1 LLC,3,8,0.00%,CRITICAL,Critical Elevator Malfunction Crisis at 2280 Grand Avenue Requiring Urgent Intervention
2014543,2320 AQUEDUCT AVENUE,Bronx,2320 HIDE OUT LLC,3,5,0.28%,HIGH,"Chronic Elevator Malfunctions Plague 2320 Aqueduct Avenue, Demanding Urgent Intervention"
2014125,2478 JEROME AVENUE,Bronx,NYS DEPARTMENT OF TRANSPORTATION,3,4,0.00%,CRITICAL,CRITICAL Elevator Reliability and Safety Concerns at 2478 Jerome Avenue
2014664,2505 AQUEDUCT AVENUE,Bronx,LA VERDAD LLC D,3,6,0.00%,HIGH,Chronic Elevator Malfunctions Plague 2505 Aqueduct Avenue Tenants
2014395,2640 DAVIDSON AVENUE,Bronx,"PE-GI GJO REALTY,",3,4,0.28%,HIGH,Persistent Elevator Failures at 2640 Davidson Avenue Demand Urgent Intervention
2015268,2734 CLAFLIN AVENUE,Bronx,AQUA 2734 CLAFLIN LLC,3,15,0.28%,CRITICAL,Critical Elevator Service Failure at 2734 Claflin Avenue Requires Immediate Intervention
2015701,2775 KINGSBRIDGE TERRACE,Bronx,"2775 KING TERRACE ASSOC., LLC",3,4,0.56%,HIGH,Elevator Reliability Crisis at 2775 KINGSBRIDGE TERRACE: Persistent Failures and Urgent Need for Intervention
2015421,2825 CLAFLIN AVENUE,Bronx,"XHAFER PROPERTIES CO., INC.",3,4,0.28%,CRITICAL,Urgent Intervention Required: Persistent and Critical Elevator Failures at 2825 Claflin Avenue
